layer,scale,run,timing_mode,algorithm,budget_mib,latency_ms,capsule
layer0,W16,fwd,,allgather,1,1.661,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,allgather,1,1.681,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,allgather,1,1.651,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,allgather,2,2.296,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,allgather,2,2.291,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,allgather,2,2.269,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,allgather,4,3.534,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,allgather,4,3.539,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,allgather,4,3.5,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,allgather,8,6.114,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,allgather,8,6.647,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,allgather,8,6.257,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,allgather,16,11.773,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,allgather,16,11.511,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,allgather,16,11.532,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,allgather,32,23.843,20260816-133612_perlmutter_01f7e410
layer0,W16,revA,,allgather,32,24.141,20260816-162940_perlmutter_ed9625bc
layer0,W16,revB,,allgather,32,23.771,20260816-163134_perlmutter_c914e099
layer0,W16,fwd,,allgather,64,52.201,20260816-133612_perlmutter_01f7e410
layer0,W16,revA,,allgather,64,51.358,20260816-162940_perlmutter_ed9625bc
layer0,W16,revB,,allgather,64,52.011,20260816-163134_perlmutter_c914e099
layer0,W16,fast,,fast,1,4.644,20260816-134133_perlmutter_03ddc517
layer0,W16,fast,,fast,2,5.085,20260816-134133_perlmutter_03ddc517
layer0,W16,fast,,fast,4,7.275,20260816-134133_perlmutter_03ddc517
layer0,W16,fast,,fast,8,11.624,20260816-134133_perlmutter_03ddc517
layer0,W16,fast,,fast,16,20.731,20260816-134133_perlmutter_03ddc517
layer0,W16,fast,,fast,32,40.085,20260816-134308_perlmutter_4124b1a5
layer0,W16,fwd,,hier_compress_lb_union,1,1.581,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union,1,1.622,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union,1,1.577,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union,2,2.002,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union,2,2.167,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union,2,1.988,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union,4,2.845,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union,4,2.839,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union,4,2.839,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union,8,4.721,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union,8,4.752,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union,8,4.727,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union,16,9.093,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union,16,9.133,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union,16,9.146,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union,32,19.705,20260816-133612_perlmutter_01f7e410
layer0,W16,revA,,hier_compress_lb_union,32,19.926,20260816-162940_perlmutter_ed9625bc
layer0,W16,revB,,hier_compress_lb_union,32,19.678,20260816-163134_perlmutter_c914e099
layer0,W16,fwd,,hier_compress_lb_union,64,45.697,20260816-133612_perlmutter_01f7e410
layer0,W16,revA,,hier_compress_lb_union,64,45.609,20260816-162940_perlmutter_ed9625bc
layer0,W16,revB,,hier_compress_lb_union,64,45.182,20260816-163134_perlmutter_c914e099
layer0,W16,fwd,,hier_compress_lb_union_eager,1,1.665,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_eager,1,1.664,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_eager,1,1.657,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_eager,2,2.27,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_eager,2,2.152,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_eager,2,2.143,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_eager,4,3.125,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_eager,4,3.105,20260816-161551_perlmutter_1451c017
