baseline,variant,model,nodes,budget_mib,status,capsule,cell_id,deterministic,e2e_ms,l0_ms,act_ms,l1_ms,plan_ms,plan_comm_ms,total_ms,e2e_min,e2e_max,fail_reason
COMET,l01_allgather_dense,K2,4,1,ok,20260823-161230_perlmutter_70934650,l01_allgather_dense_trace-610042_b1_k8_isolated,0,6.817,1.723,0.009,5.091,0.258,0.293,7.378,6.783,6.902,
COMET,l01_allgather_dense,K2,4,2,ok,20260823-161230_perlmutter_70934650,l01_allgather_dense_trace-610042_b2_k8_isolated,0,9.955,2.081,0.012,7.853,0.26,0.158,10.363,9.831,9.992,
COMET,l01_allgather_dense,K2,4,4,ok,20260823-161230_perlmutter_70934650,l01_allgather_dense_trace-610042_b4_k8_isolated,0,11.014,2.71,0.018,8.247,0.272,0.21,11.506,10.839,12.935,
COMET,l01_allgather_dense,K2,4,8,ok,20260823-161230_perlmutter_70934650,l01_allgather_dense_trace-610042_b8_k8_isolated,0,13.045,4.154,0.032,8.83,0.294,0.218,13.546,12.874,13.326,
COMET,l01_allgather_dense,K2,4,16,ok,20260823-161230_perlmutter_70934650,l01_allgather_dense_trace-610042_b16_k8_isolated,0,17.484,7.616,0.056,9.865,0.343,0.512,18.208,17.246,18.313,
COMET,l01_allgather_dense,K2,4,32,ok,20260823-161230_perlmutter_70934650,l01_allgather_dense_trace-610042_b32_k8_isolated,0,30.562,15.806,0.121,14.788,0.42,0.613,31.68,28.924,33.456,
COMET,l01_allgather_dense,K2,4,64,ok,20260823-161230_perlmutter_70934650,l01_allgather_dense_trace-610042_b64_k8_isolated,0,56.64,29.46,0.232,26.98,0.634,0.427,57.679,55.208,66.913,
COMET,l01_allgather_dense,K2,8,1,ok,20260823-172450_perlmutter_c659acf3,l01_allgather_dense_trace-610042_b1_k8_isolated,0,14.172,2.769,0.009,11.409,0.27,0.299,14.72,14.106,14.36,
COMET,l01_allgather_dense,K2,8,2,ok,20260823-172450_perlmutter_c659acf3,l01_allgather_dense_trace-610042_b2_k8_isolated,0,15.869,3.182,0.012,12.65,0.268,0.252,16.407,15.67,15.931,
COMET,l01_allgather_dense,K2,8,4,ok,20260823-172450_perlmutter_c659acf3,l01_allgather_dense_trace-610042_b4_k8_isolated,0,17.965,4.533,0.017,13.428,0.296,0.521,18.748,17.866,18.546,
COMET,l01_allgather_dense,K2,8,8,ok,20260823-172450_perlmutter_c659acf3,l01_allgather_dense_trace-610042_b8_k8_isolated,0,22.656,7.327,0.037,15.259,0.327,0.649,23.552,22.185,24.05,
COMET,l01_allgather_dense,K2,8,16,ok,20260823-172450_perlmutter_c659acf3,l01_allgather_dense_trace-610042_b16_k8_isolated,0,36.161,14.265,0.058,21.679,0.39,0.66,37.024,34.911,37.941,
COMET,l01_allgather_dense,K2,8,32,ok,20260823-172450_perlmutter_c659acf3,l01_allgather_dense_trace-610042_b32_k8_isolated,0,61.553,27.368,0.15,33.604,0.526,0.919,62.96,56.908,66.881,
COMET,l01_allgather_dense,K2,8,64,ok,20260823-172450_perlmutter_c659acf3,l01_allgather_dense_trace-610042_b64_k8_isolated,0,119.295,54.265,0.159,62.174,0.844,1.015,120.715,110.087,131.433,
COMET,l01_allgather_dense,K2,16,1,ok,20260823-221535_perlmutter_f6a97b5a,l01_allgather_dense_trace-610042_b1_k8_isolated,0,44.872,5.792,0.007,39.137,0.285,0.686,46.046,44.574,45.471,
COMET,l01_allgather_dense,K2,16,2,ok,20260823-221535_perlmutter_f6a97b5a,l01_allgather_dense_trace-610042_b2_k8_isolated,0,47.179,7.039,0.011,40.003,0.328,0.748,48.178,46.456,48.146,
COMET,l01_allgather_dense,K2,16,4,ok,20260823-221535_perlmutter_f6a97b5a,l01_allgather_dense_trace-610042_b4_k8_isolated,0,52.207,9.706,0.02,42.645,0.33,0.823,53.434,51.692,52.972,
COMET,l01_allgather_dense,K2,16,8,ok,20260823-221535_perlmutter_f6a97b5a,l01_allgather_dense_trace-610042_b8_k8_isolated,0,61.634,15.048,0.029,46.124,0.398,0.912,63.291,60.075,63.309,
COMET,l01_allgather_dense,K2,16,16,ok,20260823-221535_perlmutter_f6a97b5a,l01_allgather_dense_trace-610042_b16_k8_isolated,0,86.14,29.91,0.073,56.251,0.503,0.992,87.347,82.653,89.384,
COMET,l01_allgather_dense,K2,16,32,ok,20260823-221535_perlmutter_f6a97b5a,l01_allgather_dense_trace-610042_b32_k8_isolated,0,136.226,52.466,0.062,82.704,0.798,1.353,137.853,131.281,142.939,
