# Figure tables generated from docs/handoff/30_arms_synthesis_results_tidy.csv
# See figure_tables.py docstring for layout/conventions.

# === Qwen 3 | 4n ===
arm,total_b1,total_b2,total_b4,total_b8,total_b16,total_b32,total_b64,,plan_b1,plan_b2,plan_b4,plan_b8,plan_b16,plan_b32,plan_b64,,layer0_b1,layer0_b2,layer0_b4,layer0_b8,layer0_b16,layer0_b32,layer0_b64,,layer1_b1,layer1_b2,layer1_b4,layer1_b8,layer1_b16,layer1_b32,layer1_b64
Torch + GEMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST + GEMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comet,4.454,4.882,5.928,8.653,15.132,28.504,53.465,,0.396,0.429,0.466,0.597,0.711,1.021,1.52,,1.361,1.669,2.29,3.638,6.641,12.835,24.065,,2.672,2.787,3.174,4.25,7.842,14.673,28.299
MoonEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Ours(Token Comm),3.07,3.752,5.149,8.723,15.478,28.721,55.185,,0.648,0.725,0.751,1.191,1.393,1.543,2.479,,1.196,1.457,2.04,3.363,6.635,12.054,22.5,,1.19,1.539,2.357,4.192,7.733,15.273,30.175
2 Ours(expert balance + Routing),5.277,5.66,7.45,9.911,15.796,29.706,54.838,,1.316,1.155,1.268,1.399,1.546,1.899,2.614,,3.083,3.287,3.965,5.25,7.947,14.202,26.865,,0.958,1.219,2.17,3.275,6.314,13.468,25.431
1+2,2.996,3.566,4.587,6.746,11.672,21.199,40.53,,0.779,0.891,0.912,0.929,1.236,2.22,3.103,,1.132,1.338,1.713,2.676,4.934,8.777,16.617,,1.08,1.367,2.006,3.093,5.646,10.527,20.686
1+2 s2 (always-solve+swap),3.925,4.362,5.416,7.725,13.139,22.824,41.485,,0.958,0.998,1.093,1.11,1.646,2.684,3.195,,1.231,1.348,1.722,2.703,5.035,8.884,16.938,,1.101,1.396,1.98,3.224,5.588,10.704,21.125
1+2 (direct wire),4.878,6.769,10.653,18.368,33.95,68.481,128.808,,1.568,1.474,1.492,1.54,1.794,2.713,4.131,,1.944,2.854,4.86,8.673,15.851,32.758,62.487,,1.508,2.5,4.342,8.295,16.17,33.171,62.079
