run_id,cell_id,variant,budget,status,deterministic,total_ms,plan_comm_ms,plan_ms,place_ms,l0_ms,l1_ms,e2e_ms
20260915-090203,ours_l01_s1_pv2_r2_trace-a2e8ab_b1_k8_isolated,ours_l01_s1_pv2_r2,1,ok,0,5.2964,0.19872,0.786656,0.002528,2.427664,1.921328,4.3268
20260915-090203,ours_l01_s1_pv2_r2_pv3c_eps025_trace-a2e8ab_b1_k8_isolated,ours_l01_s1_pv2_r2_pv3c_eps025,1,ok,0,5.268528,0.199056,0.8244480000000001,0.002672,2.389968,1.874544,4.254576
20260915-090203,ours_l01_s1_pv2_r2_pv3c_eps05_trace-a2e8ab_b1_k8_isolated,ours_l01_s1_pv2_r2_pv3c_eps05,1,ok,0,5.244816,0.21665600000000002,0.87808,0.002656,2.3585760000000002,1.812336,4.168592
20260915-090203,ours_l01_s2_swap_force_p2p_r2_trace-a2e8ab_b1_k8_isolated,ours_l01_s2_swap_force_p2p_r2,1,ok,0,6.372688,0.202896,1.077648,0.8313440000000001,2.450352,1.9632960000000002,4.4004639999999995
20260915-090203,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025_trace-a2e8ab_b1_k8_isolated,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025,1,ok,0,6.111376,0.184,0.917584,0.712496,2.394672,1.956976,4.332512
20260915-090203,ours_l01_s2_swap_force_p2p_r2_pv3c_eps05_trace-a2e8ab_b1_k8_isolated,ours_l01_s2_swap_force_p2p_r2_pv3c_eps05,1,ok,0,6.07096,0.197568,0.95392,0.724976,2.418816,1.867536,4.278416
20260915-090203,llc_l01_s1_pv2_trace-a2e8ab_b1_k8_isolated,llc_l01_s1_pv2,1,ok,0,7.742528,0.32720000000000005,0.965712,0.002688,4.646784,1.861248,6.4346239999999995
20260915-090203,llc_l01_s1_pv2_pv3c_eps025_trace-a2e8ab_b1_k8_isolated,llc_l01_s1_pv2_pv3c_eps025,1,ok,0,7.5013760000000005,0.30848,1.024768,0.002656,4.460512,1.7493919999999998,6.189296
20260915-090203,llc_l01_s1_pv2_pv3c_eps05_trace-a2e8ab_b1_k8_isolated,llc_l01_s1_pv2_pv3c_eps05,1,ok,0,7.794224,0.49195200000000006,1.059712,0.002496,4.518,1.783824,6.240336
20260915-090203,ours_l01_s1_pv2_r2_trace-a2e8ab_b4_k8_isolated,ours_l01_s1_pv2_r2,4,ok,0,7.375184,0.223472,0.954448,0.002592,3.175136,3.028688,6.230544
20260915-090203,ours_l01_s1_pv2_r2_pv3c_eps025_trace-a2e8ab_b4_k8_isolated,ours_l01_s1_pv2_r2_pv3c_eps025,4,ok,0,7.734688,0.570144,1.16848,0.00264,3.262384,3.1201600000000003,6.272512000000001
20260915-090203,ours_l01_s1_pv2_r2_pv3c_eps05_trace-a2e8ab_b4_k8_isolated,ours_l01_s1_pv2_r2_pv3c_eps05,4,ok,0,7.317952,0.5344960000000001,1.197072,0.002656,3.1720319999999997,2.8433599999999997,5.984544
20260915-090203,ours_l01_s2_swap_force_p2p_r2_trace-a2e8ab_b4_k8_isolated,ours_l01_s2_swap_force_p2p_r2,4,ok,0,8.497423999999999,0.464816,1.216336,0.730224,3.146032,3.11432,6.227072
20260915-090203,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025_trace-a2e8ab_b4_k8_isolated,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025,4,ok,0,8.087088,0.202912,1.105424,0.72112,3.177872,3.005248,6.111824
20260915-090203,ours_l01_s2_swap_force_p2p_r2_pv3c_eps05_trace-a2e8ab_b4_k8_isolated,ours_l01_s2_swap_force_p2p_r2_pv3c_eps05,4,ok,0,7.932448,0.260864,1.138816,0.724384,3.139072,2.827664,5.939712
20260915-090203,llc_l01_s1_pv2_trace-a2e8ab_b4_k8_isolated,llc_l01_s1_pv2,4,ok,0,10.457152,0.322784,1.18968,0.002656,5.79152,3.259936,8.93376
20260915-090203,llc_l01_s1_pv2_pv3c_eps025_trace-a2e8ab_b4_k8_isolated,llc_l01_s1_pv2_pv3c_eps025,4,ok,0,10.410128,0.36296,1.246528,0.002608,5.7596799999999995,3.23408,8.835872
20260915-090203,llc_l01_s1_pv2_pv3c_eps05_trace-a2e8ab_b4_k8_isolated,llc_l01_s1_pv2_pv3c_eps05,4,ok,0,10.676736,0.332256,1.2907199999999999,0.002656,5.803184,3.411792,9.037376
20260915-090203,ours_l01_s1_pv2_r2_trace-a2e8ab_b16_k8_isolated,ours_l01_s1_pv2_r2,16,ok,0,17.516655999999998,0.243024,1.310336,0.00264,7.5456,8.27144,16.0355035
20260915-090203,ours_l01_s1_pv2_r2_pv3c_eps025_trace-a2e8ab_b16_k8_isolated,ours_l01_s1_pv2_r2_pv3c_eps025,16,ok,0,16.7416,0.216032,1.394144,0.002656,7.4649920000000005,7.59288,14.982624000000001
20260915-090203,ours_l01_s1_pv2_r2_pv3c_eps05_trace-a2e8ab_b16_k8_isolated,ours_l01_s1_pv2_r2_pv3c_eps05,16,ok,0,16.531168,0.283632,1.415296,0.002672,7.03032,7.748431999999999,14.827664
20260915-090203,ours_l01_s2_swap_force_p2p_r2_trace-a2e8ab_b16_k8_isolated,ours_l01_s2_swap_force_p2p_r2,16,ok,0,18.601616,0.24708800000000003,1.9035199999999999,0.7352639999999999,7.666144,8.212368,15.845728000000001
20260915-090203,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025_trace-a2e8ab_b16_k8_isolated,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025,16,ok,0,17.428544,0.41336,1.578112,0.753776,7.487568,7.396576,14.861823999999999
20260915-090203,ours_l01_s2_swap_force_p2p_r2_pv3c_eps05_trace-a2e8ab_b16_k8_isolated,ours_l01_s2_swap_force_p2p_r2_pv3c_eps05,16,ok,0,17.196015,0.22336,1.57592,0.735328,7.213711999999999,7.5772639999999996,14.770896
20260915-090203,llc_l01_s1_pv2_trace-a2e8ab_b16_k8_isolated,llc_l01_s1_pv2,16,ok,0,23.496208000000003,0.673456,2.007568,0.002592,11.859088,9.789888,21.1122885
20260915-090203,llc_l01_s1_pv2_pv3c_eps025_trace-a2e8ab_b16_k8_isolated,llc_l01_s1_pv2_pv3c_eps025,16,ok,0,23.348543,0.6092960000000001,1.9057279999999999,0.00264,11.950256,9.994720000000001,21.12632
20260915-090203,llc_l01_s1_pv2_pv3c_eps05_trace-a2e8ab_b16_k8_isolated,llc_l01_s1_pv2_pv3c_eps05,16,ok,0,23.0025445,0.526896,1.8393920000000001,0.002512,11.688336,9.7790075,20.7872
