nodes,model,budget_mib,router,S,K,nlp,rows_total,copies,drift_ppm,ref_ms,forced,over_cap_rows,uniform_cap_over,c2_over_rows,c2_under_rows,c2_replicas_violating,nonhost_rows,replica_ratio_min,replica_ratio_max,gpu_ratio_min,gpu_ratio_max,c3_real_violations,c3_rounded_violations,rows_max,Q_max,Q_over_SK_max,imbalance_max_over_mean,remote_rows,incidence,cell_id
8,K2,1,loccap_sl,72,8,14,18432,448,425281,20.552151021547616,737,737,737,540,498,89,0,0.5053763440860215,1.518151815181518,0.8570289662503322,1.143439584877687,17,12,776,699.5,1.2144097222222223,1.3472222222222223,14278,8322,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated
8,K2,1,pv3,72,8,14,18432,448,425281,43.83058496750891,0,0,471,0,0,0,0,0.9152542372881356,1.0847457627118644,0.9710421362926998,1.025889519590198,0,0,698,699.5,1.2144097222222223,1.2118055555555556,14278,9391,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated
8,K2,1,evensplit,72,8,14,18432,448,425281,nan,0,0,478,0,0,0,0,0.9830508474576272,1.0169491525423728,0.9965453095934095,1.0033203406958278,0,0,701,699.5,1.2144097222222223,1.2170138888888888,14891,9588,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated
8,K2,4,loccap_sl,296,8,14,75776,448,213427,36.36893990915269,2530,2530,2530,2159,2033,90,0,0.39819587628865977,1.5502577319587627,0.8598208549075929,1.120141038871689,20,19,3170,2951.25,1.2463048986486487,1.3386824324324325,58693,33899,ours_l01_s1_pv2_r2_trace-610042_b4_k8_isolated
8,K2,4,pv3,296,8,14,75776,448,213427,58.19570203311741,0,0,1658,0,0,0,0,0.9317507418397626,1.0682492581602374,0.9714650703346652,1.0295372233400404,0,0,2964,2951.25,1.2463048986486487,1.2516891891891893,58693,38228,ours_l01_s1_pv2_r2_trace-610042_b4_k8_isolated
8,K2,4,evensplit,296,8,14,75776,448,213427,nan,0,0,1622,0,0,0,0,0.9967637540453075,1.0032362459546926,0.9992740533148752,1.0006631788372264,0,0,2953,2951.25,1.2463048986486487,1.2470439189189189,61309,39127,ours_l01_s1_pv2_r2_trace-610042_b4_k8_isolated
8,K2,16,loccap_sl,1168,8,14,299008,448,729101,93.02208002191037,10131,10131,10131,8824,8240,86,0,0.5349781386633354,1.494378513429107,0.849195733443084,1.1470357503081923,18,18,12408,11102.0,1.1881421232876712,1.3279109589041096,230700,133606,ours_l01_s1_pv2_r2_trace-610042_b16_k8_isolated
8,K2,16,pv3,1168,8,14,299008,448,729101,72.14066502638161,0,0,6129,0,0,0,0,0.9361393323657474,1.0638606676342526,0.9717420038981697,1.0283524233282657,0,0,11153,11102.0,1.1881421232876712,1.1936001712328768,230700,151250,ours_l01_s1_pv2_r2_trace-610042_b16_k8_isolated
8,K2,16,evensplit,1168,8,14,299008,448,729101,nan,0,0,6116,0,0,0,0,0.9993011879804332,1.0007903576368307,0.999746096229529,1.0002045970202125,0,0,11103,11102.0,1.1881421232876712,1.1882491438356164,240806,154556,ours_l01_s1_pv2_r2_trace-610042_b16_k8_isolated
8,Qwen,4,loccap_sl,512,8,6,131072,192,154406,40.28800898231566,8614,8614,8614,7716,7503,94,0,0.4926884139482565,1.532058492688414,0.6797698695754041,1.2418096723868954,25,25,5929,6402.166666666667,1.5630289713541667,1.447509765625,95250,48411,ours_l01_s1_pv2_r2_trace-a2e8ab_b4_k8_isolated
