nodes,model,budget,router,C,remote,incid,rows_max,gpu_ratio_max
4,K2,1,loccap,1/16,5941,2749,648,1.0421307506053268
4,K2,1,pv3,1/16,5969,2856,656,1.0224996371026276
4,K2,1,pv3c,1/16,5969,2843,657,1.020757729714037
4,K2,1,pv3,1/8,5957,2859,654,1.0364348962113517
4,K2,1,pv3c,1/8,5957,2826,657,1.0294672666569895
4,K2,1,pv3,1/4,5941,2855,648,1.0695311365945712
4,K2,1,pv3c,1/4,5941,2793,654,1.0538539700972567
4,K2,1,pv3,1/2,5941,2854,641,1.1026273769777908
4,K2,1,pv3c,1/2,5941,2766,640,1.0817244883147048
4,K2,1,pv3,1/1,5941,2857,646,1.1026273769777908
4,K2,1,pv3c,1/1,5941,2752,645,1.0817244883147048
4,K2,4,loccap,1/16,23946,11125,2668,1.0420503716853433
4,K2,4,pv3,1/16,23953,11630,2628,1.0216644363268113
4,K2,4,pv3c,1/16,23953,11533,2632,1.0177583276067852
4,K2,4,pv3,1/8,23946,11630,2619,1.0316467141668777
4,K2,4,pv3c,1/8,23946,11443,2629,1.0238344967268258
4,K2,4,pv3,1/4,23946,11620,2611,1.0533473181670225
4,K2,4,pv3c,1/4,23946,11292,2622,1.0398929436869329
4,K2,4,pv3,1/2,23946,11608,2565,1.09197439328728
4,K2,4,pv3c,1/2,23946,11146,2598,1.063329596007089
4,K2,4,pv3,1/1,23946,11617,2584,1.09197439328728
4,K2,4,pv3c,1/1,23946,11125,2601,1.0611595356070744
4,K2,16,loccap,1/16,94567,44139,10498,1.052880954395465
4,K2,16,pv3,1/16,94574,46096,10414,1.0095970321782843
4,K2,16,pv3c,1/16,94574,45677,10435,1.0088443237721445
4,K2,16,pv3,1/8,94567,46086,10413,1.0166479251803298
4,K2,16,pv3c,1/8,94567,45334,10438,1.009381972633673
4,K2,16,pv3,1/4,94567,46052,10414,1.0370532898165163
4,K2,16,pv3c,1/4,94567,44724,10437,1.0229011820849676
4,K2,16,pv3,1/2,94567,45971,10214,1.0776446065659198
4,K2,16,pv3c,1/2,94567,44183,10305,1.0523024601629138
4,K2,16,pv3,1/1,94567,45962,10214,1.0804969693645265
4,K2,16,pv3c,1/1,94567,44117,10305,1.050327747456186
4,Qwen,1,loccap,1/16,9846,4091,1360,1.0949621043245654
4,Qwen,1,pv3,1/16,9846,4532,1341,1.0243693886276186
4,Qwen,1,pv3c,1/16,9846,4438,1328,1.0166737922188969
4,Qwen,1,pv3,1/8,9846,4561,1367,1.0474561778537836
4,Qwen,1,pv3c,1/8,9846,4369,1339,1.0346301838392475
4,Qwen,1,pv3,1/4,9846,4561,1417,1.092774690038478
4,Qwen,1,pv3c,1/4,9846,4209,1377,1.0637024369388628
4,Qwen,1,pv3,1/2,9846,4455,1520,1.168875587858059
4,Qwen,1,pv3c,1/2,9846,3929,1474,1.1288452964779314
4,Qwen,1,pv3,1/1,9846,4452,1522,1.1697306541256947
4,Qwen,1,pv3c,1/1,9846,3877,1475,1.1350869371377619
4,Qwen,4,loccap,1/16,38607,15958,5547,1.0962361956276763
4,Qwen,4,pv3,1/16,38607,17923,5325,1.0209601081812034
4,Qwen,4,pv3c,1/16,38607,17486,5273,1.0141987829614605
4,Qwen,4,pv3,1/8,38607,18072,5423,1.0430400161274065
4,Qwen,4,pv3c,1/8,38607,17278,5326,1.0245661482983999
4,Qwen,4,pv3,1/4,38607,18110,5619,1.0888015321036186
4,Qwen,4,pv3c,1/4,38607,16562,5443,1.0492893861505896
4,Qwen,4,pv3,1/2,38607,17551,5991,1.1744421906693712
4,Qwen,4,pv3c,1/2,38607,15374,5789,1.1374802794681091
4,Qwen,4,pv3,1/1,38607,17525,5991,1.1796258733378409
4,Qwen,4,pv3c,1/1,38607,15229,5792,1.1460446247464504
4,Qwen,16,loccap,1/16,155101,64284,22032,1.0932459817338922
4,Qwen,16,pv3,1/16,155101,71969,21032,1.024635801998322
4,Qwen,16,pv3c,1/16,155101,70091,20886,1.0135746606334841
4,Qwen,16,pv3,1/8,155101,72424,21432,1.047415656064882
4,Qwen,16,pv3c,1/8,155101,69249,21064,1.0253449185242762
4,Qwen,16,pv3,1/4,155101,72581,22232,1.0929753641980018
4,Qwen,16,pv3c,1/4,155101,66585,21637,1.0536601615634456
4,Qwen,16,pv3,1/2,155101,70255,23802,1.1840439325756997
4,Qwen,16,pv3c,1/2,155101,61660,23126,1.1428809371790245
4,Qwen,16,pv3,1/1,155101,70137,23823,1.183942236798617
4,Qwen,16,pv3c,1/1,155101,61261,23164,1.150709269078089
