study,arm,rep,capsule,iter,total_ms
loo,placement_swap_seq,1,98aa63a5,0,69.405
loo,placement_swap_seq,1,98aa63a5,1,61.028
loo,placement_swap_seq,1,98aa63a5,2,54.75
loo,placement_swap_seq,1,98aa63a5,3,55.215
loo,placement_swap_seq,1,98aa63a5,4,55.165
loo,placement_swap_seq,1,98aa63a5,5,55.257
loo,placement_swap_seq,1,98aa63a5,6,56.047
loo,placement_swap_seq,1,98aa63a5,7,54.979
loo,placement_swap_seq,1,98aa63a5,8,54.817
loo,placement_swap_seq,1,98aa63a5,9,55.356
loo,placement_swap_seq_pv3c_14,1,98aa63a5,0,67.046
loo,placement_swap_seq_pv3c_14,1,98aa63a5,1,60.017
loo,placement_swap_seq_pv3c_14,1,98aa63a5,2,56.113
loo,placement_swap_seq_pv3c_14,1,98aa63a5,3,52.79
loo,placement_swap_seq_pv3c_14,1,98aa63a5,4,55.042
loo,placement_swap_seq_pv3c_14,1,98aa63a5,5,54.13
loo,placement_swap_seq_pv3c_14,1,98aa63a5,6,56.067
loo,placement_swap_seq_pv3c_14,1,98aa63a5,7,55.189
loo,placement_swap_seq_pv3c_14,1,98aa63a5,8,54.383
loo,placement_swap_seq_pv3c_14,1,98aa63a5,9,53.422
loo,full_stack_seq,1,98aa63a5,0,69.472
loo,full_stack_seq,1,98aa63a5,1,61.726
loo,full_stack_seq,1,98aa63a5,2,54.052
loo,full_stack_seq,1,98aa63a5,3,54.799
loo,full_stack_seq,1,98aa63a5,4,53.936
loo,full_stack_seq,1,98aa63a5,5,53.272
loo,full_stack_seq,1,98aa63a5,6,53.751
loo,full_stack_seq,1,98aa63a5,7,55.025
loo,full_stack_seq,1,98aa63a5,8,52.357
loo,full_stack_seq,1,98aa63a5,9,53.724
loo,full_stack_seq_pv3c_14,1,98aa63a5,0,66.294
loo,full_stack_seq_pv3c_14,1,98aa63a5,1,60.155
loo,full_stack_seq_pv3c_14,1,98aa63a5,2,58.047
loo,full_stack_seq_pv3c_14,1,98aa63a5,3,52.892
loo,full_stack_seq_pv3c_14,1,98aa63a5,4,53.982
loo,full_stack_seq_pv3c_14,1,98aa63a5,5,53.872
loo,full_stack_seq_pv3c_14,1,98aa63a5,6,56.384
loo,full_stack_seq_pv3c_14,1,98aa63a5,7,53.809
loo,full_stack_seq_pv3c_14,1,98aa63a5,8,54.503
loo,full_stack_seq_pv3c_14,1,98aa63a5,9,52.026
loo,full_stack_ovl,1,98aa63a5,0,58.12
