study,arm,metric,n_reps,total_ms,sd
loo,moonep,it0,1,129.74,
loo,moonep,rest_mean,1,130.91,
loo,comet,it0,5,64.57,1.73
loo,comet,rest_mean,5,64.33,0.39
loo,slipstream_comm_only,it0,5,59.24,1.0
loo,slipstream_comm_only,rest_mean,5,58.6,0.79
loo,placement_swap_seq,it0,5,67.79,0.96
loo,placement_swap_seq,rest_mean,5,55.06,0.56
loo,full_stack_seq,it0,5,67.73,1.32
loo,full_stack_seq,rest_mean,5,55.1,0.24
loo,full_stack_ovl,it0,5,59.11,1.07
loo,full_stack_ovl,rest_mean,5,54.47,0.22
matched,moonep,it0,1,129.19,
matched,moonep,rest_mean,1,125.67,
matched,comet,it0,5,64.38,1.95
matched,comet,rest_mean,5,64.36,0.99
matched,slipstream_comm_only,it0,5,58.65,1.17
matched,slipstream_comm_only,rest_mean,5,58.95,0.52
matched,placement_swap_seq,it0,5,53.97,2.22
matched,placement_swap_seq,rest_mean,5,47.69,0.28
matched,full_stack_seq,it0,5,53.06,0.64
matched,full_stack_seq,rest_mean,5,47.23,0.5
matched,full_stack_ovl,it0,5,50.22,0.72
matched,full_stack_ovl,rest_mean,5,47.05,0.26
