panel,rung,arm,tidy_arm,topic,statistic,value_ms,sd_ms,n,capsules,note
A: seen basis (S-A per-topic),COMET,COMET,COMET,clinical,mean over 16 timed iters,59.688,,1,f3214016,
A: seen basis (S-A per-topic),COMET,COMET,COMET,colmath,mean over 16 timed iters,63.445,,1,f3214016,
A: seen basis (S-A per-topic),COMET,COMET,COMET,elecEng,mean over 16 timed iters,62.156,,1,f3214016,
A: seen basis (S-A per-topic),COMET,COMET,COMET,hsPsych,mean over 16 timed iters,60.617,,1,f3214016,
A: seen basis (S-A per-topic),COMET,COMET,COMET,hsWorldHist,mean over 16 timed iters,56.656,,1,f3214016,
A: seen basis (S-A per-topic),COMET,COMET,COMET,lcb,mean over 16 timed iters,60.155,,1,f3214016,
A: seen basis (S-A per-topic),COMET,COMET,COMET,philosophy,mean over 16 timed iters,57.235,,1,f3214016,
A: seen basis (S-A per-topic),COMET,COMET,COMET,proLaw,mean over 16 timed iters,65.841,0.320,4,106bd039+62d5f12f+f3214016+f6f23656,
A: seen basis (S-A per-topic),COMET,COMET,COMET,ALL,mean over the 8 topics,60.724,2.867,8,106bd039+62d5f12f+f3214016+f6f23656,value = mean of per-topic means; sd = spread over topics
A: seen basis (S-A per-topic),1,1: token-comm overlap,1 token-comm overlap,clinical,mean over 16 timed iters,53.488,,1,f3214016,
A: seen basis (S-A per-topic),1,1: token-comm overlap,1 token-comm overlap,colmath,mean over 16 timed iters,55.621,,1,f3214016,
A: seen basis (S-A per-topic),1,1: token-comm overlap,1 token-comm overlap,elecEng,mean over 16 timed iters,53.251,,1,f3214016,
A: seen basis (S-A per-topic),1,1: token-comm overlap,1 token-comm overlap,hsPsych,mean over 16 timed iters,54.914,,1,f3214016,
A: seen basis (S-A per-topic),1,1: token-comm overlap,1 token-comm overlap,hsWorldHist,mean over 16 timed iters,52.224,,1,f3214016,
A: seen basis (S-A per-topic),1,1: token-comm overlap,1 token-comm overlap,lcb,mean over 16 timed iters,54.782,,1,f3214016,
A: seen basis (S-A per-topic),1,1: token-comm overlap,1 token-comm overlap,philosophy,mean over 16 timed iters,51.984,,1,f3214016,
A: seen basis (S-A per-topic),1,1: token-comm overlap,1 token-comm overlap,proLaw,mean over 16 timed iters,58.611,0.277,4,106bd039+62d5f12f+f3214016+f6f23656,
A: seen basis (S-A per-topic),1,1: token-comm overlap,1 token-comm overlap,ALL,mean over the 8 topics,54.359,2.011,8,106bd039+62d5f12f+f3214016+f6f23656,value = mean of per-topic means; sd = spread over topics
A: seen basis (S-A per-topic),2,2: placement + routing,2 placement only (pr0),clinical,mean over 16 timed iters,55.971,,1,f3214016,
A: seen basis (S-A per-topic),2,2: placement + routing,2 placement only (pr0),colmath,mean over 16 timed iters,55.595,,1,f3214016,
A: seen basis (S-A per-topic),2,2: placement + routing,2 placement only (pr0),elecEng,mean over 16 timed iters,55.856,,1,f3214016,
A: seen basis (S-A per-topic),2,2: placement + routing,2 placement only (pr0),hsPsych,mean over 16 timed iters,55.971,,1,f3214016,
A: seen basis (S-A per-topic),2,2: placement + routing,2 placement only (pr0),hsWorldHist,mean over 16 timed iters,55.797,,1,f3214016,
A: seen basis (S-A per-topic),2,2: placement + routing,2 placement only (pr0),lcb,mean over 16 timed iters,56.940,,1,f3214016,
A: seen basis (S-A per-topic),2,2: placement + routing,2 placement only (pr0),philosophy,mean over 16 timed iters,55.458,,1,f3214016,
A: seen basis (S-A per-topic),2,2: placement + routing,2 placement only (pr0),proLaw,mean over 16 timed iters,61.266,0.502,4,106bd039+62d5f12f+f3214016+f6f23656,
A: seen basis (S-A per-topic),2,2: placement + routing,2 placement only (pr0),ALL,mean over the 8 topics,56.607,1.809,8,106bd039+62d5f12f+f3214016+f6f23656,value = mean of per-topic means; sd = spread over topics
A: seen basis (S-A per-topic),1+2,1+2 (no expert movement),1+2 static,clinical,mean over 16 timed iters,50.765,,1,f3214016,
A: seen basis (S-A per-topic),1+2,1+2 (no expert movement),1+2 static,colmath,mean over 16 timed iters,49.211,,1,f3214016,
A: seen basis (S-A per-topic),1+2,1+2 (no expert movement),1+2 static,elecEng,mean over 16 timed iters,50.622,,1,f3214016,
A: seen basis (S-A per-topic),1+2,1+2 (no expert movement),1+2 static,hsPsych,mean over 16 timed iters,50.721,,1,f3214016,
A: seen basis (S-A per-topic),1+2,1+2 (no expert movement),1+2 static,hsWorldHist,mean over 16 timed iters,49.979,,1,f3214016,
A: seen basis (S-A per-topic),1+2,1+2 (no expert movement),1+2 static,lcb,mean over 16 timed iters,50.783,,1,f3214016,
A: seen basis (S-A per-topic),1+2,1+2 (no expert movement),1+2 static,philosophy,mean over 16 timed iters,49.785,,1,f3214016,
A: seen basis (S-A per-topic),1+2,1+2 (no expert movement),1+2 static,proLaw,mean over 16 timed iters,54.318,0.545,4,106bd039+62d5f12f+f3214016+f6f23656,
A: seen basis (S-A per-topic),1+2,1+2 (no expert movement),1+2 static,ALL,mean over the 8 topics,50.773,1.442,8,106bd039+62d5f12f+f3214016+f6f23656,value = mean of per-topic means; sd = spread over topics
A: seen basis (S-A per-topic),1+2+swap seq,"1+2 + expert swap, sequential (reset d4)",1+2 full-orbit swap SEQ d4,clinical,mean over 16 timed iters,51.916,,1,f3214016,
