nodes,model,budget_mib,cell_id,expert,copies,rank,node,rows,t1_self,t2_node,t3_remote,t4_forced,gpu_load,cap
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,9,4,0,0,39,9,30,0,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,11,2,0,0,48,5,11,32,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,30,1,0,0,1,0,1,0,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,51,1,0,0,6,0,1,5,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,66,1,0,0,1,0,0,1,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,95,1,0,0,7,0,3,4,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,102,1,0,0,14,0,5,9,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,110,4,0,0,41,9,32,0,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,146,1,0,0,47,1,10,36,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,167,1,0,0,20,1,3,16,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,188,1,0,0,3,0,1,2,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,195,1,0,0,10,0,2,8,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,204,1,0,0,2,0,0,2,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,233,1,0,0,30,2,10,18,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,247,2,0,0,72,7,22,43,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,264,1,0,0,17,2,3,12,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,267,1,0,0,22,0,5,17,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,276,1,0,0,11,0,4,7,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,289,1,0,0,20,1,3,16,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,303,1,0,0,45,4,10,31,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,305,1,0,0,17,3,1,13,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,326,2,0,0,36,2,12,22,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,345,1,0,0,23,2,4,17,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,357,1,0,0,12,1,3,8,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,372,1,0,0,3,0,0,3,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,377,1,0,0,16,0,3,13,0,563,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,1,1,1,0,9,1,1,7,0,545,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,50,1,1,0,28,1,5,22,0,545,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,76,4,1,0,41,9,32,0,0,545,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,78,1,1,0,20,2,2,16,0,545,612
4,K2,1,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,80,1,1,0,25,2,1,22,0,545,612
