baseline,rank,node,why,total_ms,inter_ms,intra_ms,wait_ms,gemm_ms,barrier_ms,placement_ms,placement_inter_GB,annotation
NVSHMEM a2av + GEMM,3,0,shortest inter-node wire,15.52,6.45,0.49,6.12,1.57,13.12,,,10.0k rows · 92 MB
NVSHMEM a2av + GEMM,4,1,longest layer-0 total,16.49,10.01,0.31,2.71,2.18,13.09,,,14.7k rows · 95 MB
NVSHMEM a2av + GEMM,11,2,longest inter-node wire,14.67,12.03,0.5,0.02,1.31,12.61,,,8.8k rows · 98 MB
NVSHMEM a2av + GEMM,15,3,shortest layer-0 total,14.56,7.21,0.38,5.45,1.06,13.08,,,4.9k rows · 100 MB
EPLB,0,0,longest layer-0 total,14.8,9.31,0.48,2.2,2.23,12.07,117.2,1.2,9.1k rows · 96 MB
EPLB,1,0,longest placement,14.6,8.86,0.46,2.61,2.1,12.0,151.9,1.04,9.1k rows · 96 MB
EPLB,8,2,shortest layer-0 total,14.3,11.26,0.46,0.02,2.0,11.81,114.1,1.04,8.7k rows · 97 MB
EPLB,12,3,longest expert GEMM,14.37,7.84,0.52,3.09,2.32,11.51,141.5,1.09,9.9k rows · 93 MB
COMET,0,0,shortest layer-0 total,7.34,2.71,2.21,1.35,3.47,,,,14.5k rows · 48 MB
COMET,2,0,longest inter-node wire,7.4,3.43,2.21,0.61,2.03,,,,7.4k rows · 48 MB
COMET,4,1,longest expert GEMM,7.43,2.53,2.21,0.75,3.48,,,,14.7k rows · 48 MB
COMET,15,3,longest layer-0 total,7.51,2.46,2.2,1.34,1.41,,,,4.9k rows · 48 MB
