nodes,budget_mib,ours_s1_total_ms,comet_total_ms,ring_total_ms,speedup_vs_comet,speedup_vs_ring,comet_status
2,1,4.224,3.873,,0.917,,ok
2,2,4.67,4.229,,0.906,,ok
2,4,5.613,5.106,,0.91,,ok
2,8,7.772,6.739,,0.867,,ok
2,16,11.742,10.768,,0.917,,ok
2,64,36.092,36.503,,1.011,,ok
4,1,4.009,4.02,5.323,1.003,1.328,ok
4,2,4.654,4.772,7.407,1.025,1.592,ok
4,4,5.974,6.162,11.638,1.031,1.948,ok
4,8,8.993,9.552,,1.062,,ok
4,16,14.262,16.491,40.021,1.156,2.806,ok
4,64,46.247,59.331,139.664,1.283,3.02,ok
8,1,5.684,6.801,9.192,1.197,1.617,ok
8,2,6.567,7.963,10.902,1.213,1.66,ok
8,4,8.416,10.695,16.699,1.271,1.984,ok
8,8,12.395,16.582,,1.338,,ok
8,16,19.428,30.338,44.363,1.562,2.283,ok
8,64,62.456,115.961,166.788,1.857,2.67,ok
16,1,12.613,15.576,24.234,1.235,1.921,ok
16,2,13.687,18.126,27.3,1.324,1.995,ok
16,4,15.626,23.502,30.649,1.504,1.961,ok
16,8,20.424,34.672,,1.698,,ok
16,16,27.916,63.159,63.433,2.262,2.272,ok
16,64,85.785,222.263,209.457,2.591,2.442,ok
32,1,38.403,,80.014,,2.084,does_not_run
32,2,38.969,,83.638,,2.146,does_not_run
32,4,41.004,,92.217,,2.249,does_not_run
32,8,45.088,,108.373,,2.404,does_not_run
32,16,53.684,,128.335,,2.391,does_not_run
32,64,120.173,,368.636,,3.068,does_not_run
