run_id,cell_id,status,platform,variant,comm_pattern,mode,matrix_id,matrix_path,matrix_sha256,family,family_params,budget_mib,topk,G,H,chunk_bytes,dtype,world_size,nnodes,ranks_per_node,fabric,ntokens,tokens_per_rank,iters,warmup_iters,sm_margin,deterministic,env_json,git_sha,git_dirty,wire_ratio,relay_ident_bytes,relay_balanced_bytes,correct_bitwise,correct_allclose,exit_code,start_ts,end_ts,log_dir,nsys_path,prof_path,notes
20260729-155138_aws_27585c83,allgather_remotefrac_b64_k8_e2e,ok,aws,allgather,allgather,e2e,w16x8_remotefrac_b64_k8_id001,/home/ubuntu/sw/a2av_test_matrices/generated/w16x8_remotefrac_b64_k8_id001.txt,afbcf0946015cf39e3be3044352d8e394fcace6ed9dcac9671d0d54d60761d7b,remotefrac,{},64,8,128,4096,8192,bfloat16,16,2,8,efa,131072,8192,10,5,8,0,"{""FLUX_A2AV_MAX_RECV_NTOKENS"": ""262144"", ""FLUX_A2AV_MAX_RELAY_NTOKENS"": ""262144"", ""FLUX_A2AV_MAX_STAGE_NTOKENS"": ""262144"", ""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/allgather_remotefrac_b64_k8_e2e/torchrun"", ""FLUX_SWEEP_RECORD_DIR"": ""/home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/allgather_remotefrac_b64_k8_e2e/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""10G""}",18ebf888650015ea99165b4ed8731c54f6a54d12,1,,,,,,0,2026-07-29T15:51:38Z,2026-07-29T15:51:58Z,/home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/allgather_remotefrac_b64_k8_e2e,,,"full sweep 2/3: b64, skip-correctness (ref OOMs)"
20260729-155138_aws_27585c83,a2av_remotefrac_b64_k8_e2e,ok,aws,a2av,a2av,e2e,w16x8_remotefrac_b64_k8_id001,/home/ubuntu/sw/a2av_test_matrices/generated/w16x8_remotefrac_b64_k8_id001.txt,afbcf0946015cf39e3be3044352d8e394fcace6ed9dcac9671d0d54d60761d7b,remotefrac,{},64,8,128,4096,8192,bfloat16,16,2,8,efa,131072,8192,10,5,8,0,"{""FLUX_A2AV_MAX_RECV_NTOKENS"": ""262144"", ""FLUX_A2AV_MAX_RELAY_NTOKENS"": ""262144"", ""FLUX_A2AV_MAX_STAGE_NTOKENS"": ""262144"", ""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/a2av_remotefrac_b64_k8_e2e/torchrun"", ""FLUX_SWEEP_RECORD_DIR"": ""/home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/a2av_remotefrac_b64_k8_e2e/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""10G""}",18ebf888650015ea99165b4ed8731c54f6a54d12,1,,,,,,0,2026-07-29T15:51:58Z,2026-07-29T15:52:17Z,/home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/a2av_remotefrac_b64_k8_e2e,,,"full sweep 2/3: b64, skip-correctness (ref OOMs)"
20260729-155138_aws_27585c83,a2av_ring_remotefrac_b64_k8_e2e,ok,aws,a2av_ring,a2av_ring,e2e,w16x8_remotefrac_b64_k8_id001,/home/ubuntu/sw/a2av_test_matrices/generated/w16x8_remotefrac_b64_k8_id001.txt,afbcf0946015cf39e3be3044352d8e394fcace6ed9dcac9671d0d54d60761d7b,remotefrac,{},64,8,128,4096,8192,bfloat16,16,2,8,efa,131072,8192,10,5,8,0,"{""FLUX_A2AV_MAX_RECV_NTOKENS"": ""262144"", ""FLUX_A2AV_MAX_RELAY_NTOKENS"": ""262144"", ""FLUX_A2AV_MAX_STAGE_NTOKENS"": ""262144"", ""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/a2av_ring_remotefrac_b64_k8_e2e/torchrun"", ""FLUX_SWEEP_RECORD_DIR"": ""/home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/a2av_ring_remotefrac_b64_k8_e2e/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""10G""}",18ebf888650015ea99165b4ed8731c54f6a54d12,1,,,,,,0,2026-07-29T15:52:17Z,2026-07-29T15:52:38Z,/home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/a2av_ring_remotefrac_b64_k8_e2e,,,"full sweep 2/3: b64, skip-correctness (ref OOMs)"
20260729-155138_aws_27585c83,hier_remotefrac_b64_k8_e2e,ok,aws,hier,a2av_hier,e2e,w16x8_remotefrac_b64_k8_id001,/home/ubuntu/sw/a2av_test_matrices/generated/w16x8_remotefrac_b64_k8_id001.txt,afbcf0946015cf39e3be3044352d8e394fcace6ed9dcac9671d0d54d60761d7b,remotefrac,{},64,8,128,4096,8192,bfloat16,16,2,8,efa,131072,8192,10,5,8,0,"{""FLUX_A2AV_MAX_RECV_NTOKENS"": ""262144"", ""FLUX_A2AV_MAX_RELAY_NTOKENS"": ""262144"", ""FLUX_A2AV_MAX_STAGE_NTOKENS"": ""262144"", ""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/hier_remotefrac_b64_k8_e2e/torchrun"", ""FLUX_SWEEP_RECORD_DIR"": ""/home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/hier_remotefrac_b64_k8_e2e/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""10G""}",18ebf888650015ea99165b4ed8731c54f6a54d12,1,,,,,,0,2026-07-29T15:52:38Z,2026-07-29T15:52:57Z,/home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/hier_remotefrac_b64_k8_e2e,,,"full sweep 2/3: b64, skip-correctness (ref OOMs)"
20260729-155138_aws_27585c83,hier_compress_remotefrac_b64_k8_e2e,ok,aws,hier_compress,a2av_hier_compress,e2e,w16x8_remotefrac_b64_k8_id001,/home/ubuntu/sw/a2av_test_matrices/generated/w16x8_remotefrac_b64_k8_id001.txt,afbcf0946015cf39e3be3044352d8e394fcace6ed9dcac9671d0d54d60761d7b,remotefrac,{},64,8,128,4096,8192,bfloat16,16,2,8,efa,131072,8192,10,5,8,0,"{""FLUX_A2AV_MAX_RECV_NTOKENS"": ""262144"", ""FLUX_A2AV_MAX_RELAY_NTOKENS"": ""262144"", ""FLUX_A2AV_MAX_STAGE_NTOKENS"": ""262144"", ""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/hier_compress_remotefrac_b64_k8_e2e/torchrun"", ""FLUX_SWEEP_RECORD_DIR"": ""/home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/hier_compress_remotefrac_b64_k8_e2e/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""10G""}",18ebf888650015ea99165b4ed8731c54f6a54d12,1,0.7375068664550781,134217728,120799232,,,0,2026-07-29T15:52:57Z,2026-07-29T15:53:17Z,/home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/hier_compress_remotefrac_b64_k8_e2e,,,"full sweep 2/3: b64, skip-correctness (ref OOMs)"
20260729-155138_aws_27585c83,hier_compress_identity_remotefrac_b64_k8_e2e,ok,aws,hier_compress_identity,a2av_hier_compress,e2e,w16x8_remotefrac_b64_k8_id001,/home/ubuntu/sw/a2av_test_matrices/generated/w16x8_remotefrac_b64_k8_id001.txt,afbcf0946015cf39e3be3044352d8e394fcace6ed9dcac9671d0d54d60761d7b,remotefrac,{},64,8,128,4096,8192,bfloat16,16,2,8,efa,131072,8192,10,5,8,0,"{""FLUX_A2AV_MAX_RECV_NTOKENS"": ""262144"", ""FLUX_A2AV_MAX_RELAY_NTOKENS"": ""262144"", ""FLUX_A2AV_MAX_STAGE_NTOKENS"": ""262144"", ""FLUX_A2AV_RELAY_IDENTITY"": ""1"", ""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/hier_compress_identity_remotefrac_b64_k8_e2e/torchrun"", ""FLUX_SWEEP_RECORD_DIR"": ""/home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/hier_compress_identity_remotefrac_b64_k8_e2e/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""10G""}",18ebf888650015ea99165b4ed8731c54f6a54d12,1,0.7375068664550781,134217728,120799232,,,0,2026-07-29T15:53:17Z,2026-07-29T15:53:36Z,/home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/hier_compress_identity_remotefrac_b64_k8_e2e,,,"full sweep 2/3: b64, skip-correctness (ref OOMs)"
20260729-155138_aws_27585c83,hier_compress_union_remotefrac_b64_k8_e2e,ok,aws,hier_compress_union,a2av_hier_compress,e2e,w16x8_remotefrac_b64_k8_id001,/home/ubuntu/sw/a2av_test_matrices/generated/w16x8_remotefrac_b64_k8_id001.txt,afbcf0946015cf39e3be3044352d8e394fcace6ed9dcac9671d0d54d60761d7b,remotefrac,{},64,8,128,4096,8192,bfloat16,16,2,8,efa,131072,8192,10,5,8,0,"{""FLUX_A2AV_MAX_RECV_NTOKENS"": ""262144"", ""FLUX_A2AV_MAX_RELAY_NTOKENS"": ""262144"", ""FLUX_A2AV_MAX_STAGE_NTOKENS"": ""262144"", ""FLUX_A2AV_UNION_BCAST"": ""1"", ""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/hier_compress_union_remotefrac_b64_k8_e2e/torchrun"", ""FLUX_SWEEP_RECORD_DIR"": ""/home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/hier_compress_union_remotefrac_b64_k8_e2e/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""10G""}",18ebf888650015ea99165b4ed8731c54f6a54d12,1,0.7375068664550781,134217728,120799232,,,0,2026-07-29T15:53:36Z,2026-07-29T15:53:56Z,/home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/hier_compress_union_remotefrac_b64_k8_e2e,,,"full sweep 2/3: b64, skip-correctness (ref OOMs)"
20260729-155138_aws_27585c83,hier_compress_pack_remotefrac_b64_k8_e2e,ok,aws,hier_compress_pack,a2av_hier_compress,e2e,w16x8_remotefrac_b64_k8_id001,/home/ubuntu/sw/a2av_test_matrices/generated/w16x8_remotefrac_b64_k8_id001.txt,afbcf0946015cf39e3be3044352d8e394fcace6ed9dcac9671d0d54d60761d7b,remotefrac,{},64,8,128,4096,8192,bfloat16,16,2,8,efa,131072,8192,10,5,8,0,"{""CUDA_DEVICE_MAX_CONNECTIONS"": ""2"", ""FLUX_A2AV_MAX_RECV_NTOKENS"": ""262144"", ""FLUX_A2AV_MAX_RELAY_NTOKENS"": ""262144"", ""FLUX_A2AV_MAX_STAGE_NTOKENS"": ""262144"", ""FLUX_A2AV_PACK_OVERLAP"": ""1"", ""FLUX_A2AV_UNION_BCAST"": ""1"", ""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/hier_compress_pack_remotefrac_b64_k8_e2e/torchrun"", ""FLUX_SWEEP_RECORD_DIR"": ""/home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/hier_compress_pack_remotefrac_b64_k8_e2e/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""10G""}",18ebf888650015ea99165b4ed8731c54f6a54d12,1,0.7375068664550781,134217728,120799232,,,0,2026-07-29T15:53:56Z,2026-07-29T15:54:16Z,/home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/hier_compress_pack_remotefrac_b64_k8_e2e,,,"full sweep 2/3: b64, skip-correctness (ref OOMs)"
20260729-155138_aws_27585c83,allgather_remotefrac_b64_k8_phases,ok,aws,allgather,allgather,phases,w16x8_remotefrac_b64_k8_id001,/home/ubuntu/sw/a2av_test_matrices/generated/w16x8_remotefrac_b64_k8_id001.txt,afbcf0946015cf39e3be3044352d8e394fcace6ed9dcac9671d0d54d60761d7b,remotefrac,{},64,8,128,4096,8192,bfloat16,16,2,8,efa,131072,8192,10,5,8,0,"{""FLUX_A2AV_MAX_RECV_NTOKENS"": ""262144"", ""FLUX_A2AV_MAX_RELAY_NTOKENS"": ""262144"", ""FLUX_A2AV_MAX_STAGE_NTOKENS"": ""262144"", ""FLUX_A2AV_TIMING"": ""1"", ""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/allgather_remotefrac_b64_k8_phases/torchrun"", ""FLUX_SWEEP_RECORD_DIR"": ""/home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/allgather_remotefrac_b64_k8_phases/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""10G""}",18ebf888650015ea99165b4ed8731c54f6a54d12,1,,,,,,0,2026-07-29T15:54:16Z,2026-07-29T15:54:35Z,/home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/allgather_remotefrac_b64_k8_phases,,,"full sweep 2/3: b64, skip-correctness (ref OOMs)"
20260729-155138_aws_27585c83,a2av_remotefrac_b64_k8_phases,ok,aws,a2av,a2av,phases,w16x8_remotefrac_b64_k8_id001,/home/ubuntu/sw/a2av_test_matrices/generated/w16x8_remotefrac_b64_k8_id001.txt,afbcf0946015cf39e3be3044352d8e394fcace6ed9dcac9671d0d54d60761d7b,remotefrac,{},64,8,128,4096,8192,bfloat16,16,2,8,efa,131072,8192,10,5,8,0,"{""FLUX_A2AV_MAX_RECV_NTOKENS"": ""262144"", ""FLUX_A2AV_MAX_RELAY_NTOKENS"": ""262144"", ""FLUX_A2AV_MAX_STAGE_NTOKENS"": ""262144"", ""FLUX_A2AV_TIMING"": ""1"", ""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/a2av_remotefrac_b64_k8_phases/torchrun"", ""FLUX_SWEEP_RECORD_DIR"": ""/home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/a2av_remotefrac_b64_k8_phases/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""10G""}",18ebf888650015ea99165b4ed8731c54f6a54d12,1,,,,,,0,2026-07-29T15:54:35Z,2026-07-29T15:54:55Z,/home/ubuntu/sweep_data/20260729-155138_aws_27585c83/cells/a2av_remotefrac_b64_k8_phases,,,"full sweep 2/3: b64, skip-correctness (ref OOMs)"
