run_id,cell_id,mode,impl,rank,iter,metric,value_ms,source
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,0,0,comm_ms,4.964384,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,0,1,comm_ms,4.528736,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,0,2,comm_ms,4.32384,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,0,3,comm_ms,4.532416,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,0,4,comm_ms,4.384,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,0,5,comm_ms,4.502848,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,0,0,scatter_ms,7.84576,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,0,1,scatter_ms,8.042976,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,0,2,scatter_ms,7.912288,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,0,3,scatter_ms,7.83136,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,0,4,scatter_ms,7.82224,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,0,5,scatter_ms,7.878752,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,0,0,gemm_ms,1.927648,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,0,1,gemm_ms,1.924672,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,0,2,gemm_ms,1.92464,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,0,3,gemm_ms,1.92816,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,0,4,gemm_ms,1.927872,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,0,5,gemm_ms,1.925376,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,0,0,e2e_ms,5.406784,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,0,1,e2e_ms,5.350912,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,0,2,e2e_ms,5.313184,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,0,3,e2e_ms,5.331168,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,0,4,e2e_ms,5.391424,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,0,5,e2e_ms,5.284352,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,0,0,iso_sync_ms,4.589177,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,0,1,iso_sync_ms,4.606457,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,0,2,iso_sync_ms,4.528104,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,0,3,iso_sync_ms,4.458599,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,0,4,iso_sync_ms,4.622163,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,0,5,iso_sync_ms,4.51662,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,1,0,comm_ms,3.674528,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,1,1,comm_ms,3.598176,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,1,2,comm_ms,3.548448,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,1,3,comm_ms,3.535808,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,1,4,comm_ms,3.389088,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,1,5,comm_ms,3.456128,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,1,0,scatter_ms,8.574624,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,1,1,scatter_ms,8.58432,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,1,2,scatter_ms,8.554912,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,1,3,scatter_ms,8.629152,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,1,4,scatter_ms,8.62544,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,1,5,scatter_ms,8.581024,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,1,0,gemm_ms,2.170336,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,1,1,gemm_ms,2.16992,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,1,2,gemm_ms,2.169024,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,1,3,gemm_ms,2.189632,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,1,4,gemm_ms,2.190912,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,1,5,gemm_ms,2.188896,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,1,0,e2e_ms,5.38288,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,1,1,e2e_ms,5.283104,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,1,2,e2e_ms,5.265248,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,1,3,e2e_ms,5.326304,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,1,4,e2e_ms,5.324032,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,1,5,e2e_ms,5.18848,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,1,0,iso_sync_ms,4.73087,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,1,1,iso_sync_ms,4.706708,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,1,2,iso_sync_ms,4.612776,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,1,3,iso_sync_ms,4.584076,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,1,4,iso_sync_ms,4.741142,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,1,5,iso_sync_ms,4.637506,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,2,0,comm_ms,4.919648,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,2,1,comm_ms,4.369376,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,2,2,comm_ms,4.589952,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,2,3,comm_ms,4.447584,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,2,4,comm_ms,4.457504,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,2,5,comm_ms,4.627872,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,2,0,scatter_ms,8.01536,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,2,1,scatter_ms,7.837216,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,2,2,scatter_ms,7.890784,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,2,3,scatter_ms,7.865056,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,2,4,scatter_ms,7.74656,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,2,5,scatter_ms,7.892512,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,2,0,gemm_ms,1.931328,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,2,1,gemm_ms,1.929312,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,2,2,gemm_ms,1.890944,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,2,3,gemm_ms,1.887072,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,2,4,gemm_ms,1.891872,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,2,5,gemm_ms,1.889184,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,2,0,e2e_ms,5.320512,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,2,1,e2e_ms,5.267168,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,2,2,e2e_ms,5.271488,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,2,3,e2e_ms,5.48688,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,2,4,e2e_ms,5.343776,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,2,5,e2e_ms,5.200192,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,2,0,iso_sync_ms,4.697379,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,2,1,iso_sync_ms,4.678724,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,2,2,iso_sync_ms,4.581499,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,2,3,iso_sync_ms,4.517961,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,2,4,iso_sync_ms,4.68373,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,2,5,iso_sync_ms,4.586874,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,3,0,comm_ms,5.000448,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,3,1,comm_ms,4.671584,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,3,2,comm_ms,4.80096,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,3,3,comm_ms,4.604448,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,3,4,comm_ms,4.486784,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,3,5,comm_ms,4.54256,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,3,0,scatter_ms,7.908576,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,3,1,scatter_ms,7.714944,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,3,2,scatter_ms,7.755968,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,3,3,scatter_ms,7.892448,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,3,4,scatter_ms,7.758752,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,3,5,scatter_ms,7.933696,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,3,0,gemm_ms,1.874592,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,3,1,gemm_ms,1.87424,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,3,2,gemm_ms,1.874368,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,3,3,gemm_ms,1.87552,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,3,4,gemm_ms,1.875616,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,3,5,gemm_ms,1.872416,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,3,0,e2e_ms,5.38256,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,3,1,e2e_ms,5.29472,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,3,2,e2e_ms,5.348288,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,3,3,e2e_ms,5.328864,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,3,4,e2e_ms,5.336128,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,3,5,e2e_ms,5.193408,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,3,0,iso_sync_ms,4.678819,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,3,1,iso_sync_ms,4.681507,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,3,2,iso_sync_ms,4.605027,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,3,3,iso_sync_ms,4.577673,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,3,4,iso_sync_ms,4.719286,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,3,5,iso_sync_ms,4.63664,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,4,0,comm_ms,5.086688,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,4,1,comm_ms,4.448992,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,4,2,comm_ms,4.50656,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,4,3,comm_ms,4.57984,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,4,4,comm_ms,4.564128,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,4,5,comm_ms,4.572256,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,4,0,scatter_ms,8.050368,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,4,1,scatter_ms,7.983456,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,4,2,scatter_ms,7.792192,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,4,3,scatter_ms,7.822144,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,4,4,scatter_ms,7.74192,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,4,5,scatter_ms,7.800864,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,4,0,gemm_ms,1.881664,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,4,1,gemm_ms,1.879872,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,4,2,gemm_ms,1.879392,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,4,3,gemm_ms,1.880416,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,4,4,gemm_ms,1.88128,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,torch,4,5,gemm_ms,1.88112,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,4,0,e2e_ms,5.315616,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,4,1,e2e_ms,5.256672,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,4,2,e2e_ms,5.216096,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,4,3,e2e_ms,5.237024,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,4,4,e2e_ms,5.300128,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,4,5,e2e_ms,5.189472,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,4,0,iso_sync_ms,4.38595,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,4,1,iso_sync_ms,4.382605,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,4,2,iso_sync_ms,4.302799,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,4,3,iso_sync_ms,4.250931,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,4,4,iso_sync_ms,4.390313,recorder
20260804-044057_aws_d2ea4039,hier_compress_union_remotefrac_b8_k8_nsys,nsys,flux,4,5,iso_sync_ms,4.319487,recorder
