run_id,cell_id,mode,impl,rank,iter,metric,value_ms,source
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,0,e2e_ms,13.627616,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,1,e2e_ms,11.076768,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,2,e2e_ms,11.137536,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,3,e2e_ms,10.947328,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,4,e2e_ms,11.032416,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,5,e2e_ms,11.033792,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,6,e2e_ms,11.497632,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,7,e2e_ms,10.97008,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,8,e2e_ms,11.0976,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,9,e2e_ms,11.11344,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,0,l0_ms,9.075392,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,1,l0_ms,6.609536,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,2,l0_ms,6.597568,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,3,l0_ms,6.462112,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,4,l0_ms,6.488384,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,5,l0_ms,6.554912,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,6,l0_ms,6.9856,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,7,l0_ms,6.501632,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,8,l0_ms,6.560032,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,9,l0_ms,6.485728,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,0,act_ms,0.00912,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,1,act_ms,0.010624,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,2,act_ms,0.009952,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,3,act_ms,0.010528,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,4,act_ms,0.01008,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,5,act_ms,0.010144,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,6,act_ms,0.01008,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,7,act_ms,0.009344,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,8,act_ms,0.009504,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,9,act_ms,0.011232,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,0,l1_ms,4.543104,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,1,l1_ms,4.456608,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,2,l1_ms,4.530016,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,3,l1_ms,4.474688,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,4,l1_ms,4.533952,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,5,l1_ms,4.468736,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,6,l1_ms,4.501952,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,7,l1_ms,4.459104,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,8,l1_ms,4.528064,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,9,l1_ms,4.61648,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,0,plan_comm_ms,0.611008,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,1,plan_comm_ms,0.744064,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,2,plan_comm_ms,0.718816,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,3,plan_comm_ms,0.332448,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,4,plan_comm_ms,0.837664,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,5,plan_comm_ms,0.333856,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,6,plan_comm_ms,0.526272,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,7,plan_comm_ms,0.32528,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,8,plan_comm_ms,0.824128,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,9,plan_comm_ms,0.709856,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,0,plan_ms,0.769088,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,1,plan_ms,0.7696,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,2,plan_ms,0.768576,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,3,plan_ms,0.777472,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,4,plan_ms,0.758208,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,5,plan_ms,0.783904,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,6,plan_ms,0.761824,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,7,plan_ms,0.753408,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,8,plan_ms,0.768608,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,9,plan_ms,0.769888,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,0,total_ms,15.02144,recorder
20260824-023050_perlmutter_8dc058d3,l01_slipstream_trace-610042_b1_k8_isolated,isolated,flux,0,1,total_ms,12.60336,recorder
