run_id,cell_id,mode,impl,rank,iter,metric,value_ms,source
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,0,e2e_ms,7.56416,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,1,e2e_ms,7.426208,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,2,e2e_ms,6.83216,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,3,e2e_ms,6.816224,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,4,e2e_ms,6.556352,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,5,e2e_ms,5.917088,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,6,e2e_ms,5.642976,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,7,e2e_ms,5.191424,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,8,e2e_ms,4.912704,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,9,e2e_ms,5.017664,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,0,l0_ms,2.822816,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,1,l0_ms,3.607744,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,2,l0_ms,2.118848,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,3,l0_ms,2.12352,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,4,l0_ms,2.129152,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,5,l0_ms,1.487072,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,6,l0_ms,1.567904,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,7,l0_ms,1.51936,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,8,l0_ms,1.449216,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,9,l0_ms,1.553408,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,0,act_ms,0.005792,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,1,act_ms,0.005792,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,2,act_ms,0.006144,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,3,act_ms,0.005792,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,4,act_ms,0.005792,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,5,act_ms,0.00592,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,6,act_ms,0.006016,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,7,act_ms,0.005792,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,8,act_ms,0.005888,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,9,act_ms,0.00576,recorder
20260824-024358_perlmutter_0e0a3d5c,l01_torch_trace-a2e8ab_b1_k8_isolated,isolated,torch,0,0,l1_ms,4.735552,recorder
