run_id,cell_id,mode,impl,rank,iter,metric,value_ms,source
20260824-100413_perlmutter_efa9499b,l01_slipstream_trace-610042_b8_k8_isolated,isolated,flux,0,0,e2e_ms,8.723296,recorder
20260824-100413_perlmutter_efa9499b,l01_slipstream_trace-610042_b8_k8_isolated,isolated,flux,0,1,e2e_ms,7.765952,recorder
20260824-100413_perlmutter_efa9499b,l01_slipstream_trace-610042_b8_k8_isolated,isolated,flux,0,2,e2e_ms,8.280384,recorder
20260824-100413_perlmutter_efa9499b,l01_slipstream_trace-610042_b8_k8_isolated,isolated,flux,0,3,e2e_ms,8.105216,recorder
20260824-100413_perlmutter_efa9499b,l01_slipstream_trace-610042_b8_k8_isolated,isolated,flux,0,4,e2e_ms,8.555808,recorder
20260824-100413_perlmutter_efa9499b,l01_slipstream_trace-610042_b8_k8_isolated,isolated,flux,0,5,e2e_ms,8.40752,recorder
20260824-100413_perlmutter_efa9499b,l01_slipstream_trace-610042_b8_k8_isolated,isolated,flux,0,6,e2e_ms,8.32816,recorder
20260824-100413_perlmutter_efa9499b,l01_slipstream_trace-610042_b8_k8_isolated,isolated,flux,0,7,e2e_ms,8.365184,recorder
20260824-100413_perlmutter_efa9499b,l01_slipstream_trace-610042_b8_k8_isolated,isolated,flux,0,8,e2e_ms,8.014176,recorder
20260824-100413_perlmutter_efa9499b,l01_slipstream_trace-610042_b8_k8_isolated,isolated,flux,0,9,e2e_ms,8.292736,recorder
20260824-100413_perlmutter_efa9499b,l01_slipstream_trace-610042_b8_k8_isolated,isolated,flux,0,0,l0_ms,3.965184,recorder
20260824-100413_perlmutter_efa9499b,l01_slipstream_trace-610042_b8_k8_isolated,isolated,flux,0,1,l0_ms,3.682848,recorder
20260824-100413_perlmutter_efa9499b,l01_slipstream_trace-610042_b8_k8_isolated,isolated,flux,0,2,l0_ms,3.9704,recorder
20260824-100413_perlmutter_efa9499b,l01_slipstream_trace-610042_b8_k8_isolated,isolated,flux,0,3,l0_ms,3.969216,recorder
20260824-100413_perlmutter_efa9499b,l01_slipstream_trace-610042_b8_k8_isolated,isolated,flux,0,4,l0_ms,3.98544,recorder
20260824-100413_perlmutter_efa9499b,l01_slipstream_trace-610042_b8_k8_isolated,isolated,flux,0,5,l0_ms,3.83312,recorder
20260824-100413_perlmutter_efa9499b,l01_slipstream_trace-610042_b8_k8_isolated,isolated,flux,0,6,l0_ms,3.99328,recorder
