run_id,cell_id,mode,impl,rank,iter,metric,value_ms,source
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,0,e2e_ms,7.065728,recorder
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,1,e2e_ms,9.453696,recorder
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,2,e2e_ms,7.731008,recorder
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,3,e2e_ms,7.92704,recorder
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,4,e2e_ms,7.558048,recorder
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,5,e2e_ms,5.855456,recorder
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,6,e2e_ms,5.830464,recorder
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,7,e2e_ms,5.81808,recorder
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,8,e2e_ms,5.798368,recorder
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,9,e2e_ms,5.834656,recorder
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,0,l0_ms,1.914752,recorder
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,1,l0_ms,3.628192,recorder
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,2,l0_ms,2.304352,recorder
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,3,l0_ms,2.934112,recorder
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,4,l0_ms,3.037152,recorder
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,5,l0_ms,1.923168,recorder
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,6,l0_ms,1.921376,recorder
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,7,l0_ms,1.91232,recorder
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,8,l0_ms,1.882784,recorder
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,9,l0_ms,1.951136,recorder
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,0,act_ms,0.008768,recorder
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,1,act_ms,0.008768,recorder
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,2,act_ms,0.008768,recorder
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,3,act_ms,0.008736,recorder
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,4,act_ms,0.008736,recorder
20260824-155001_perlmutter_8dc95910,l01_torch_trace-610042_b1_k8_isolated,isolated,torch,0,5,act_ms,0.008768,recorder
