run_id,cell_id,mode,impl,rank,iter,metric,value_ms,source
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,0,e2e_ms,6.5952,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,1,e2e_ms,6.788736,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,2,e2e_ms,6.989984,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,3,e2e_ms,6.681536,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,4,e2e_ms,7.504672,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,5,e2e_ms,6.899616,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,6,e2e_ms,7.054816,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,7,e2e_ms,7.030656,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,8,e2e_ms,7.146176,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,9,e2e_ms,6.934496,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,0,l0_ms,3.103456,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,1,l0_ms,3.14528,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,2,l0_ms,3.633984,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,3,l0_ms,2.976928,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,4,l0_ms,3.781056,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,5,l0_ms,3.087744,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,6,l0_ms,3.09024,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,7,l0_ms,3.366976,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,8,l0_ms,3.504768,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,9,l0_ms,3.229824,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,0,act_ms,0.047808,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,1,act_ms,0.048416,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,2,act_ms,0.048224,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,3,act_ms,0.047904,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,4,act_ms,0.047616,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,5,act_ms,0.049248,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,6,act_ms,0.048352,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,7,act_ms,0.048512,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,8,act_ms,0.047136,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,9,act_ms,0.046304,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,0,l1_ms,3.443936,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,1,l1_ms,3.59504,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,2,l1_ms,3.307776,recorder
20260825-154658_perlmutter_db070b31,ours_l01_s1_pull_gate_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,3,l1_ms,3.656704,recorder
