run_id,cell_id,mode,impl,rank,iter,metric,value_ms,source
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,0,e2e_ms,6.088064,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,1,e2e_ms,5.756544,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,2,e2e_ms,5.856864,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,3,e2e_ms,6.2072,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,4,e2e_ms,6.573696,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,5,e2e_ms,6.443936,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,6,e2e_ms,7.903488,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,7,e2e_ms,5.783712,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,8,e2e_ms,5.945728,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,9,e2e_ms,5.74304,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,0,l0_ms,2.80608,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,1,l0_ms,2.734912,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,2,l0_ms,2.793952,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,3,l0_ms,3.24112,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,4,l0_ms,3.101408,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,5,l0_ms,3.21376,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,6,l0_ms,4.839584,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,7,l0_ms,2.774944,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,8,l0_ms,2.565056,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,9,l0_ms,2.772096,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,0,act_ms,0.048512,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,1,act_ms,0.047648,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,2,act_ms,0.05264,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,3,act_ms,0.049568,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,4,act_ms,0.048416,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,5,act_ms,0.050624,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,6,act_ms,0.049408,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,7,act_ms,0.050528,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,8,act_ms,0.049408,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,9,act_ms,0.049504,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,0,l1_ms,3.233472,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,1,l1_ms,2.973984,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,2,l1_ms,3.010272,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,3,l1_ms,2.916512,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,4,l1_ms,3.423872,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,5,l1_ms,3.179552,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,6,l1_ms,3.014496,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,7,l1_ms,2.95824,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,8,l1_ms,3.331264,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,9,l1_ms,2.92144,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,0,plan_comm_ms,0.36736,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,1,plan_comm_ms,1.069312,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,2,plan_comm_ms,0.599904,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,3,plan_comm_ms,0.466336,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,4,plan_comm_ms,0.559616,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,5,plan_comm_ms,0.23328,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,6,plan_comm_ms,0.303136,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,7,plan_comm_ms,0.304832,recorder
20260828-234452_perlmutter_7f88c28c,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,8,plan_comm_ms,0.236736,recorder
