run_id,cell_id,mode,impl,rank,iter,metric,value_ms,source
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,0,e2e_ms,10.324352,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,1,e2e_ms,9.991936,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,2,e2e_ms,11.017984,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,3,e2e_ms,10.479936,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,4,e2e_ms,10.606656,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,5,e2e_ms,10.302688,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,6,e2e_ms,9.690528,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,7,e2e_ms,9.576736,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,8,e2e_ms,9.89248,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,9,e2e_ms,9.804448,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,0,l0_ms,5.113088,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,1,l0_ms,5.15984,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,2,l0_ms,5.987136,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,3,l0_ms,4.987008,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,4,l0_ms,5.77504,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,5,l0_ms,5.190464,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,6,l0_ms,4.678624,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,7,l0_ms,4.555328,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,8,l0_ms,4.529344,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,9,l0_ms,4.8808,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,0,act_ms,0.045984,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,1,act_ms,0.047776,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,2,act_ms,0.046112,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,3,act_ms,0.046272,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,4,act_ms,0.046336,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,5,act_ms,0.04576,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,6,act_ms,0.04704,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,7,act_ms,0.044,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,8,act_ms,0.044736,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,9,act_ms,0.04464,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,0,l1_ms,5.16528,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,1,l1_ms,4.78432,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,2,l1_ms,4.984736,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,3,l1_ms,5.446656,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,4,l1_ms,4.78528,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,5,l1_ms,5.066464,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,6,l1_ms,4.964864,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,7,l1_ms,4.977408,recorder
20260829-014111_perlmutter_f0c9b90b,ours_l01_s2_gate_swap_p2p_t1_r2_trace-769e29_b8_k8_isolated,isolated,ours,0,8,l1_ms,5.3184,recorder
