run_id,cell_id,mode,impl,rank,iter,metric,value_ms,source
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,0,e2e_ms,6.162336,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,1,e2e_ms,6.673792,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,2,e2e_ms,5.738848,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,3,e2e_ms,6.052896,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,4,e2e_ms,6.509824,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,5,e2e_ms,6.568192,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,6,e2e_ms,6.7664,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,7,e2e_ms,6.407136,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,8,e2e_ms,6.557568,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,9,e2e_ms,7.46,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,0,l0_ms,2.844608,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,1,l0_ms,3.17792,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,2,l0_ms,2.593376,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,3,l0_ms,3.054848,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,4,l0_ms,3.385472,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,5,l0_ms,3.355072,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,6,l0_ms,3.650208,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,7,l0_ms,3.289184,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,8,l0_ms,3.339296,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,9,l0_ms,3.783936,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,0,act_ms,0.049888,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,1,act_ms,0.050592,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,2,act_ms,0.05232,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,3,act_ms,0.049184,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,4,act_ms,0.050336,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,5,act_ms,0.050464,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,6,act_ms,0.05168,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,7,act_ms,0.048896,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,8,act_ms,0.051552,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,9,act_ms,0.049024,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,0,l1_ms,3.26784,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,1,l1_ms,3.44528,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,2,l1_ms,3.093152,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,3,l1_ms,2.948864,recorder
20260829-024452_perlmutter_01f9a718,ours_l01_s2_gate_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,isolated,ours,0,4,l1_ms,3.074016,recorder
