run_id,cell_id,mode,impl,rank,iter,metric,value_ms,source
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,0,e2e_ms,11.936224,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,1,e2e_ms,11.39392,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,2,e2e_ms,12.481728,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,3,e2e_ms,12.275936,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,4,e2e_ms,11.993504,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,5,e2e_ms,11.234656,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,6,e2e_ms,11.514848,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,7,e2e_ms,11.805888,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,8,e2e_ms,11.723968,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,9,e2e_ms,11.500896,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,0,l0_ms,5.300672,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,1,l0_ms,5.079968,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,2,l0_ms,6.188416,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,3,l0_ms,5.514752,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,4,l0_ms,5.267456,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,5,l0_ms,5.068224,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,6,l0_ms,5.307936,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,7,l0_ms,4.990304,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,8,l0_ms,5.896704,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,9,l0_ms,5.329696,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,0,act_ms,0.040192,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,1,act_ms,0.041312,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,2,act_ms,0.040608,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,3,act_ms,0.040576,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,4,act_ms,0.039776,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,5,act_ms,0.0408,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,6,act_ms,0.039648,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,7,act_ms,0.040768,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,8,act_ms,0.039552,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,9,act_ms,0.04096,recorder
20260829-142818_perlmutter_adee1d09,ours_l01_s1_gate_pv2_r2_trace-610042_b8_k8_isolated,isolated,ours,0,0,l1_ms,6.59536,recorder
