run_id,cell_id,mode,impl,rank,iter,metric,value_ms,source
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,0,e2e_ms,3.2336,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,1,e2e_ms,3.182976,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,2,e2e_ms,3.174144,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,3,e2e_ms,3.219968,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,4,e2e_ms,3.175968,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,5,e2e_ms,3.212928,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,6,e2e_ms,3.189216,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,7,e2e_ms,3.223456,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,8,e2e_ms,3.19984,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,9,e2e_ms,3.214016,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,0,l0_ms,1.63648,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,1,l0_ms,1.627904,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,2,l0_ms,1.61632,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,3,l0_ms,1.664384,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,4,l0_ms,1.615104,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,5,l0_ms,1.600544,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,6,l0_ms,1.64224,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,7,l0_ms,1.609696,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,8,l0_ms,1.612224,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,9,l0_ms,1.628128,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,0,act_ms,0.012704,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,1,act_ms,0.01264,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,2,act_ms,0.013088,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,3,act_ms,0.01344,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,4,act_ms,0.01312,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,5,act_ms,0.013088,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,6,act_ms,0.012992,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,7,act_ms,0.012704,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,8,act_ms,0.01248,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,9,act_ms,0.013056,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,0,l1_ms,1.584416,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,1,l1_ms,1.542432,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,2,l1_ms,1.544736,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,3,l1_ms,1.542144,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,4,l1_ms,1.547744,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,5,l1_ms,1.599296,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,6,l1_ms,1.533984,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,7,l1_ms,1.601056,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,8,l1_ms,1.575136,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,9,l1_ms,1.572832,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,0,plan_comm_ms,0.459136,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,1,plan_comm_ms,0.16304,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,2,plan_comm_ms,0.150752,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,3,plan_comm_ms,0.148096,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,4,plan_comm_ms,0.14512,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,5,plan_comm_ms,0.161888,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,6,plan_comm_ms,0.138784,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,7,plan_comm_ms,0.154752,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,8,plan_comm_ms,0.648704,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,9,plan_comm_ms,0.477312,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,0,place_ms,0.002336,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,1,place_ms,0.002336,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,2,place_ms,0.002336,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,3,place_ms,0.002368,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,4,place_ms,0.002592,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,5,place_ms,0.002368,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,6,place_ms,0.002336,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,7,place_ms,0.002336,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,8,place_ms,0.002336,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,9,place_ms,0.002368,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,0,plan_ms,0.578144,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,1,plan_ms,0.604384,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,2,plan_ms,0.61248,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,3,plan_ms,0.631552,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,4,plan_ms,0.624928,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,5,plan_ms,0.596704,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,6,plan_ms,0.605504,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,7,plan_ms,0.603072,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,8,plan_ms,0.578112,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,9,plan_ms,0.57616,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,0,total_ms,4.283072,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,1,total_ms,3.96352,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,2,total_ms,3.95008,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,3,total_ms,4.012544,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,4,total_ms,3.959296,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,5,total_ms,3.984416,recorder
20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,6,total_ms,3.946304,recorder
