run_id,cell_id,mode,impl,rank,iter,metric,value_ms,source
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,0,e2e_ms,4.455264,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,1,e2e_ms,4.49008,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,2,e2e_ms,4.41008,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,3,e2e_ms,4.454176,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,4,e2e_ms,4.498752,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,5,e2e_ms,4.478656,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,6,e2e_ms,4.56128,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,7,e2e_ms,4.47664,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,8,e2e_ms,4.722304,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,9,e2e_ms,4.5408,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,0,l0_ms,2.440416,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,1,l0_ms,2.510432,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,2,l0_ms,2.438176,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,3,l0_ms,2.430848,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,4,l0_ms,2.471136,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,5,l0_ms,2.434304,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,6,l0_ms,2.512416,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,7,l0_ms,2.467072,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,8,l0_ms,2.76384,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,9,l0_ms,2.49344,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,0,act_ms,0.008928,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,1,act_ms,0.010112,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,2,act_ms,0.009568,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,3,act_ms,0.010624,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,4,act_ms,0.008896,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,5,act_ms,0.010528,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,6,act_ms,0.00944,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,7,act_ms,0.010624,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,8,act_ms,0.00944,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,9,act_ms,0.01008,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,0,l1_ms,2.00592,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,1,l1_ms,1.969536,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,2,l1_ms,1.962336,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,3,l1_ms,2.012704,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,4,l1_ms,2.01872,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,5,l1_ms,2.033824,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,6,l1_ms,2.039424,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,7,l1_ms,1.998944,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,8,l1_ms,1.949024,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,9,l1_ms,2.03728,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,0,plan_comm_ms,0.518112,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,1,plan_comm_ms,0.50944,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,2,plan_comm_ms,0.218912,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,3,plan_comm_ms,0.592672,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,4,plan_comm_ms,0.665888,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,5,plan_comm_ms,0.219456,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,6,plan_comm_ms,0.587552,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,7,plan_comm_ms,0.239456,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,8,plan_comm_ms,0.223456,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,9,plan_comm_ms,0.645056,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,0,plan_ms,0.7016,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,1,plan_ms,0.699136,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,2,plan_ms,0.694624,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,3,plan_ms,0.693792,recorder
20260829-150949_perlmutter_b81bc950,l01_slipstream_legacy_trace-a2e8ab_b1_k8_isolated,isolated,flux,0,4,plan_ms,0.69536,recorder
