run_id,cell_id,mode,impl,rank,iter,metric,value_ms,source
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,0,e2e_ms,4.640576,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,1,e2e_ms,8.674496,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,2,e2e_ms,4.686464,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,3,e2e_ms,4.96784,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,4,e2e_ms,4.645024,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,5,e2e_ms,4.637216,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,6,e2e_ms,4.655232,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,7,e2e_ms,5.332544,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,8,e2e_ms,4.789888,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,9,e2e_ms,4.574912,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,0,l0_ms,2.748,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,1,l0_ms,6.650112,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,2,l0_ms,2.78144,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,3,l0_ms,2.771168,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,4,l0_ms,2.700672,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,5,l0_ms,2.774336,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,6,l0_ms,2.758912,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,7,l0_ms,3.317632,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,8,l0_ms,2.725984,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,9,l0_ms,2.70384,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,0,act_ms,0.009472,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,1,act_ms,0.009248,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,2,act_ms,0.009696,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,3,act_ms,0.00976,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,4,act_ms,0.009472,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,5,act_ms,0.009376,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,6,act_ms,0.009248,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,7,act_ms,0.009472,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,8,act_ms,0.00944,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,9,act_ms,0.00976,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,0,l1_ms,1.883104,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,1,l1_ms,2.015136,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,2,l1_ms,1.895328,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,3,l1_ms,2.186912,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,4,l1_ms,1.93488,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,5,l1_ms,1.853504,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,6,l1_ms,1.887072,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,7,l1_ms,2.00544,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,8,l1_ms,2.054464,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,9,l1_ms,1.861312,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,0,plan_comm_ms,0.2112,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,1,plan_comm_ms,0.19968,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,2,plan_comm_ms,0.317632,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,3,plan_comm_ms,0.230208,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,4,plan_comm_ms,0.231552,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,5,plan_comm_ms,0.228768,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,6,plan_comm_ms,0.275648,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,7,plan_comm_ms,0.2008,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,8,plan_comm_ms,0.213216,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,9,plan_comm_ms,0.22672,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,0,place_ms,0.002368,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,1,place_ms,0.002336,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,2,place_ms,0.002368,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,3,place_ms,0.002368,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,4,place_ms,0.002368,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,5,place_ms,0.002336,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,6,place_ms,0.002336,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,7,place_ms,0.002336,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,8,place_ms,0.002336,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,9,place_ms,0.002368,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,0,plan_ms,1.20864,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,1,plan_ms,1.247456,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,2,plan_ms,1.11664,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,3,plan_ms,1.168544,recorder
20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,isolated,ours,0,4,plan_ms,1.18288,recorder
