run_id,cell_id,mode,impl,rank,iter,metric,value_ms,source
20260915-062223_perlmutter_70622cd1,ours_l01_s1_pv2_r2_dwire_trace-a2e8ab_b1_k8_isolated,isolated,ours,0,0,e2e_ms,3.41056,recorder
20260915-062223_perlmutter_70622cd1,ours_l01_s1_pv2_r2_dwire_trace-a2e8ab_b1_k8_isolated,isolated,ours,0,1,e2e_ms,3.403456,recorder
20260915-062223_perlmutter_70622cd1,ours_l01_s1_pv2_r2_dwire_trace-a2e8ab_b1_k8_isolated,isolated,ours,0,2,e2e_ms,3.371808,recorder
20260915-062223_perlmutter_70622cd1,ours_l01_s1_pv2_r2_dwire_trace-a2e8ab_b1_k8_isolated,isolated,ours,0,3,e2e_ms,3.533248,recorder
20260915-062223_perlmutter_70622cd1,ours_l01_s1_pv2_r2_dwire_trace-a2e8ab_b1_k8_isolated,isolated,ours,0,4,e2e_ms,3.412608,recorder
20260915-062223_perlmutter_70622cd1,ours_l01_s1_pv2_r2_dwire_trace-a2e8ab_b1_k8_isolated,isolated,ours,0,5,e2e_ms,3.47056,recorder
20260915-062223_perlmutter_70622cd1,ours_l01_s1_pv2_r2_dwire_trace-a2e8ab_b1_k8_isolated,isolated,ours,0,6,e2e_ms,3.497792,recorder
20260915-062223_perlmutter_70622cd1,ours_l01_s1_pv2_r2_dwire_trace-a2e8ab_b1_k8_isolated,isolated,ours,0,7,e2e_ms,3.571648,recorder
20260915-062223_perlmutter_70622cd1,ours_l01_s1_pv2_r2_dwire_trace-a2e8ab_b1_k8_isolated,isolated,ours,0,8,e2e_ms,3.42608,recorder
20260915-062223_perlmutter_70622cd1,ours_l01_s1_pv2_r2_dwire_trace-a2e8ab_b1_k8_isolated,isolated,ours,0,9,e2e_ms,3.401632,recorder
20260915-062223_perlmutter_70622cd1,ours_l01_s1_pv2_r2_dwire_trace-a2e8ab_b1_k8_isolated,isolated,ours,0,0,l0_ms,1.909088,recorder
20260915-062223_perlmutter_70622cd1,ours_l01_s1_pv2_r2_dwire_trace-a2e8ab_b1_k8_isolated,isolated,ours,0,1,l0_ms,1.892448,recorder
20260915-062223_perlmutter_70622cd1,ours_l01_s1_pv2_r2_dwire_trace-a2e8ab_b1_k8_isolated,isolated,ours,0,2,l0_ms,1.871872,recorder
20260915-062223_perlmutter_70622cd1,ours_l01_s1_pv2_r2_dwire_trace-a2e8ab_b1_k8_isolated,isolated,ours,0,3,l0_ms,1.95232,recorder
