run_id,cell_id,mode,impl,rank,iter,metric,value_ms,source
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,0,e2e_ms,55.051487,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,1,e2e_ms,50.542015,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,2,e2e_ms,51.125183,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,3,e2e_ms,49.711361,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,4,e2e_ms,54.26144,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,5,e2e_ms,52.418175,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,6,e2e_ms,50.593185,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,7,e2e_ms,49.906078,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,8,e2e_ms,54.69648,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,9,e2e_ms,50.163776,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,0,l0_ms,23.638657,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,1,l0_ms,21.611521,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,2,l0_ms,21.788095,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,3,l0_ms,21.631584,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,4,l0_ms,23.298752,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,5,l0_ms,22.587521,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,6,l0_ms,21.054176,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,7,l0_ms,20.60288,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,8,l0_ms,23.798944,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,9,l0_ms,21.181631,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,0,act_ms,0.21872,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,1,act_ms,0.221856,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,2,act_ms,0.2208,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,3,act_ms,0.222304,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,4,act_ms,0.220768,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,5,act_ms,0.22016,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,6,act_ms,0.222336,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,7,act_ms,0.221792,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,8,act_ms,0.219552,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,9,act_ms,0.220768,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,0,l1_ms,31.194113,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,1,l1_ms,28.708639,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,2,l1_ms,29.116287,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,3,l1_ms,27.857471,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,4,l1_ms,30.74192,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,5,l1_ms,29.610497,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,6,l1_ms,29.316671,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,7,l1_ms,29.081408,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,8,l1_ms,30.677984,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,9,l1_ms,28.761375,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,0,plan_comm_ms,0.21472,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,1,plan_comm_ms,0.452832,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,2,plan_comm_ms,0.552384,recorder
20260915-074327_perlmutter_93933b2f,ablation_l01_pr_swapall_pw_noov_p2p_r2_trace-69077a_b64_k8_isolated,isolated,ours,0,3,plan_comm_ms,0.417664,recorder
