run_id,cell_id,mode,impl,rank,iter,metric,value_ms,source
20260915-100611_perlmutter_c01dc92f,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,0,e2e_ms,11.201856,recorder
20260915-100611_perlmutter_c01dc92f,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,1,e2e_ms,11.280992,recorder
20260915-100611_perlmutter_c01dc92f,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,2,e2e_ms,11.826272,recorder
20260915-100611_perlmutter_c01dc92f,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,3,e2e_ms,11.32208,recorder
20260915-100611_perlmutter_c01dc92f,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,4,e2e_ms,11.36,recorder
20260915-100611_perlmutter_c01dc92f,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,5,e2e_ms,11.16224,recorder
20260915-100611_perlmutter_c01dc92f,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,6,e2e_ms,11.216864,recorder
20260915-100611_perlmutter_c01dc92f,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,7,e2e_ms,11.298848,recorder
20260915-100611_perlmutter_c01dc92f,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,8,e2e_ms,11.294624,recorder
20260915-100611_perlmutter_c01dc92f,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,9,e2e_ms,11.237664,recorder
20260915-100611_perlmutter_c01dc92f,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,0,l0_ms,6.83552,recorder
20260915-100611_perlmutter_c01dc92f,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,1,l0_ms,6.797216,recorder
20260915-100611_perlmutter_c01dc92f,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,2,l0_ms,7.469184,recorder
20260915-100611_perlmutter_c01dc92f,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,3,l0_ms,6.826656,recorder
20260915-100611_perlmutter_c01dc92f,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,isolated,ours,0,4,l0_ms,6.825408,recorder
