run_id,cell_id,mode,impl,rank,iter,metric,value_ms,source
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,0,e2e_ms,55.015072,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,1,e2e_ms,53.388802,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,2,e2e_ms,57.067711,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,3,e2e_ms,52.395584,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,4,e2e_ms,56.036129,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,5,e2e_ms,56.061569,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,6,e2e_ms,57.248127,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,7,e2e_ms,56.157536,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,8,e2e_ms,56.517216,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,9,e2e_ms,55.374817,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,10,e2e_ms,55.475681,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,11,e2e_ms,53.669762,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,12,e2e_ms,57.209538,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,13,e2e_ms,54.758625,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,14,e2e_ms,54.095871,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,15,e2e_ms,55.519585,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,0,l0_ms,22.74848,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,1,l0_ms,20.188671,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,2,l0_ms,22.924831,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,3,l0_ms,19.635008,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,4,l0_ms,22.49568,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,5,l0_ms,22.983553,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,6,l0_ms,22.374241,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,7,l0_ms,20.293728,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,8,l0_ms,21.894367,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,9,l0_ms,21.288864,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,10,l0_ms,22.981728,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,11,l0_ms,21.27984,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,12,l0_ms,23.990047,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,13,l0_ms,20.09024,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,14,l0_ms,21.113983,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,15,l0_ms,22.87184,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,0,act_ms,0.305184,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,1,act_ms,0.307008,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,2,act_ms,0.304896,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,3,act_ms,0.304736,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,4,act_ms,0.305312,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,5,act_ms,0.307104,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,6,act_ms,0.305184,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,7,act_ms,0.307136,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,8,act_ms,0.306816,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,9,act_ms,0.302592,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,10,act_ms,0.303776,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,11,act_ms,0.306432,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,12,act_ms,0.308864,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,13,act_ms,0.30352,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,14,act_ms,0.308032,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,15,act_ms,0.307072,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,0,l1_ms,31.961409,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,1,l1_ms,32.89312,recorder
20260915-223901_perlmutter_2b4c97c0,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated,isolated,ours,0,2,l1_ms,33.837982,recorder
